DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
12X057,P.S. 057 Crescent,1,3,2,2,2,2,3,3,3,3,3,0.166,0.25,0.08800000000000001,0.9420000000000001,0.28800000000000003,0.882,0.006,0.223,0.706,0.017,2.9,0.612,0.8859999999999999,0.496,0.955,3.78,3.64,3.71,3.77,2.6,Bronx,12,34.01015091,39.59391022,19.79695511,6.598984718,26.39593887,0.41386554621848737
12X061,P.S. 061 Francisco Oller,3,2,2,2,3,3,3,3,3,3,3,0.125,0.195,0.07400000000000001,0.955,0.23800000000000002,0.883,0.008,0.19899999999999998,0.7809999999999999,0.0,0.8,0.545,0.9329999999999999,0.23600000000000002,0.965,3.76,3.85,2.67,3.56,4.15,Bronx,12,41.93548203,33.06451797,18.54838753,6.451612949,25,0.484375
12X066,P.S. 066 School of Higher Expectations,2,3,3,3,4,3,3,3,3,3,3,0.165,0.239,0.08900000000000001,0.938,0.36200000000000004,0.858,0.005,0.267,0.7070000000000001,0.016,1.9,0.7170000000000001,0.894,0.442,0.9640000000000001,2.36,2.88,2.9,3.74,2.77,Bronx,12,38.40579605,40.21739197,17.75362396,3.623188496,21.37681198,0.4546952224052718
12X067,P.S. 067 Mohegan School,2,3,3,3,3,3,4,3,4,4,3,0.115,0.221,0.063,0.9620000000000001,0.278,0.9059999999999999,0.002,0.243,0.7340000000000001,0.006,5.9,0.348,0.885,0.48100000000000004,0.965,3.68,3.7,3.66,3.05,3.35,Bronx,12,28.51239586,30.99173546,31.40495872,9.090909004,40.49586868,0.4948875255623722
12X098,J.H.S. 098 Herman Ridder,2,2,2,2,3,2,2,3,2,3,2,0.292,0.225,0.092,0.94,0.321,0.867,0.033,0.271,0.675,0.013000000000000001,3.9,0.789,0.883,0.429,0.9690000000000001,3.01,2.91,2.06,3.89,3.92,Bronx,12,46.85990524,35.74879074,14.00966167,3.38164258,17.39130402,0.8625
12X129,M.S. 129 Academy for Independent Learning and Lead,3,3,3,4,4,3,4,4,3,4,3,0.126,0.29600000000000004,0.114,0.938,0.265,0.868,0.027000000000000003,0.29,0.6579999999999999,0.01,5.9,0.8290000000000001,0.919,0.292,0.9620000000000001,4.12,4.18,4.04,3.59,4.54,Bronx,12,29.58963203,36.93304443,20.9503231,12.52699757,33.47732162,0.8955512572533849
12X134,P.S. 134 George F. Bristow,2,3,3,4,4,4,3,3,3,4,3,0.155,0.215,0.09699999999999999,0.929,0.225,0.86,0.008,0.41200000000000003,0.55,0.012,2.8,0.818,0.889,0.44299999999999995,0.96,3.51,3.27,3.34,3.87,3.33,Bronx,12,33.81295013,39.92805862,22.30215836,3.956834555,26.25899315,0.4633333333333333
12X150,P.S. 150 Charles James Fox,2,3,2,2,3,3,4,3,3,3,3,0.23800000000000002,0.251,0.151,0.94,0.322,0.86,0.004,0.201,0.77,0.023,0.8,0.862,0.892,0.45399999999999996,0.9520000000000001,3.76,3.67,2.86,3.45,3.96,Bronx,12,38.42364502,34.48275757,23.15270996,3.940886736,27.0935955,0.49391727493917276
12X190,E.S.M.T- I.S. 190,3,3,3,2,3,3,3,3,3,3,3,0.091,0.23199999999999998,0.091,0.8909999999999999,0.187,0.8009999999999999,0.012,0.22,0.7340000000000001,0.012,1.8,0.727,0.927,0.313,0.9540000000000001,3.41,3.27,3.27,2.77,3.07,Bronx,12,26.60550499,38.07339478,23.39449501,11.92660522,35.32110214,0.9045643153526971
12X195,P.S. 195,3,3,3,3,3,3,3,3,3,3,3,0.332,0.222,0.063,0.9620000000000001,0.305,0.899,0.019,0.165,0.7909999999999999,0.003,2.8,0.406,0.9079999999999999,0.35200000000000004,0.9640000000000001,3.62,3.54,3.48,2.57,3.66,Bronx,12,51.90156555,30.42505646,14.5413866,3.131991148,17.67337799,0.4816810344827586
