DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
19K158,P.S. 158 Warwick,3,3,3,3,4,3,4,4,4,4,4,0.102,0.20199999999999999,0.139,0.915,0.233,0.865,0.006,0.485,0.474,0.017,12.9,0.76,0.904,0.42100000000000004,0.96,3.65,3.98,3.61,3.36,3.65,Brooklyn,19,43.70078659,26.37795258,22.04724503,7.874015808,29.92125893,0.4703703703703704
19K159,P.S. 159 Isaac Pitkin,3,4,3,3,4,4,4,4,4,4,4,0.198,0.163,0.076,0.899,0.17,0.84,0.405,0.305,0.243,0.013999999999999999,12.0,0.8809999999999999,0.9109999999999999,0.36,0.9670000000000001,4.84,4.51,4.13,3.21,4.17,Brooklyn,19,39.79328156,22.73901749,20.41343689,17.05426407,37.46770096,0.4849624060150376
19K171,I.S. 171 Abraham Lincoln,3,3,2,2,4,3,4,3,3,3,3,0.268,0.18899999999999997,0.086,0.895,0.14400000000000002,0.838,0.07200000000000001,0.083,0.8109999999999999,0.013999999999999999,4.5,1.0,0.932,0.239,0.951,3.75,3.63,2.95,3.65,4.01,Brooklyn,19,55.47618866,29.2857151,10.47619057,4.761904716,15.23809528,0.9459459459459459
19K190,P.S. 190 Sheffield,3,3,3,3,3,3,3,3,3,3,3,0.040999999999999995,0.175,0.07,0.907,0.35700000000000004,0.825,0.0,0.778,0.21600000000000003,0.006,13.1,0.9229999999999999,0.873,0.49700000000000005,0.987,3.94,3.78,3.79,3.75,4.05,Brooklyn,19,36,33.33333206,26.66666603,4,30.66666603,0.43859649122807015
19K202,P.S. 202 Ernest S. Jenkyns,2,3,2,3,3,3,3,4,3,3,3,0.12300000000000001,0.311,0.127,0.9279999999999999,0.27,0.858,0.027000000000000003,0.581,0.353,0.025,1.0,0.892,0.879,0.519,0.963,3.78,3.64,3.71,3.77,2.95,Brooklyn,19,55.04587173,27.98165131,14.22018337,2.752293587,16.97247696,0.5343137254901961
19K213,P.S. 213 New Lots,2,3,2,3,3,3,3,3,2,3,2,0.105,0.198,0.085,0.934,0.318,0.86,0.016,0.698,0.213,0.062,5.2,0.7140000000000001,0.8640000000000001,0.527,0.983,2.66,2.04,2.74,2.43,1.73,Brooklyn,19,64.61538696,19.23077011,11.53846169,4.615384579,16.15384674,0.5038759689922481
19K214,P.S. 214 Michael Friedsam,3,3,2,2,3,2,3,3,2,3,3,0.158,0.18,0.087,0.884,0.13699999999999998,0.821,0.484,0.122,0.35,0.031,3.7,0.892,0.917,0.324,0.9670000000000001,2.85,2.56,2.46,3.58,3.4,Brooklyn,19,40.79999924,24,20.79999924,14.39999962,35.20000076,0.4618226600985222
19K218,J.H.S. 218 James P. Sinnott,2,3,2,2,3,3,3,3,2,3,3,0.254,0.249,0.078,0.9309999999999999,0.244,0.873,0.171,0.35700000000000004,0.425,0.022000000000000002,4.9,0.6859999999999999,0.873,0.505,0.96,3.67,3.22,2.88,3.01,3.64,Brooklyn,19,67.695961,19.00237465,8.313539505,4.988123417,13.30166245,1.0293398533007334
19K224,P.S. 224 Hale A. Woodruff,2,3,2,3,3,3,3,3,3,3,3,0.081,0.245,0.10800000000000001,0.9279999999999999,0.204,0.882,0.022000000000000002,0.632,0.32,0.008,1.0,0.941,0.883,0.529,0.9590000000000001,3.78,3.64,3.71,3.77,3.21,Brooklyn,19,63.05418777,23.15270996,10.34482765,3.448275805,13.79310322,0.5456989247311828
19K273,P.S. 273 Wortman,2,3,2,3,3,3,3,3,3,3,3,0.03,0.29,0.107,0.903,0.215,0.833,0.018000000000000002,0.764,0.2,0.015,12.8,1.0,0.89,0.469,0.958,3.16,2.94,2.63,3.94,3.06,Brooklyn,19,55.3571434,29.76190567,11.90476227,2.976190567,14.88095284,0.5014925373134328
19K290,P.S. 290 Juan Morel Campos,3,4,3,4,4,4,3,4,3,3,3,0.22899999999999998,0.24100000000000002,0.107,0.888,0.195,0.809,0.024,0.207,0.746,0.01,1.4,0.7020000000000001,0.93,0.22,0.96,3.78,3.64,3.71,3.77,3.04,Brooklyn,19,31.68724251,33.33333206,27.16049385,7.818930149,34.97942352,0.47928994082840237
19K292,J.H.S. 292 Margaret S. Douglas,2,3,3,3,3,3,2,3,3,2,3,0.146,0.25,0.139,0.935,0.282,0.8909999999999999,0.168,0.485,0.3,0.03,1.8,0.902,0.89,0.37799999999999995,0.965,3.16,3.57,3.33,2.38,3.39,Brooklyn,19,45.61753082,24.50199127,14.34262943,15.53784847,29.88047791,0.8853615520282186
19K306,P.S. 306 Ethan Allen,2,3,2,2,3,3,2,3,3,3,3,0.02,0.39899999999999997,0.16399999999999998,0.971,0.285,0.94,0.01,0.705,0.255,0.01,1.0,0.833,0.882,0.511,0.966,3.78,3.64,3.71,3.77,3.23,Brooklyn,19,44.37086105,31.78808022,16.55629158,7.284768105,23.84105873,0.5067114093959731
19K325,The Fresh Creek School,2,3,3,2,3,2,4,4,4,4,4,0.036000000000000004,0.245,0.036000000000000004,0.9159999999999999,0.179,0.857,0.005,0.7040000000000001,0.276,0.0,1.0,0.8420000000000001,0.9009999999999999,0.39899999999999997,0.956,1.82,1.67,2.53,2.57,2.28,Brooklyn,19,28.42105293,29.47368431,31.57894707,10.52631569,42.10526276,0.4846938775510204
19K328,P.S. 328 Phyllis Wheatley,2,3,3,3,3,3,3,3,3,3,3,0.16699999999999998,0.29100000000000004,0.085,0.9740000000000001,0.43799999999999994,0.9259999999999999,0.027000000000000003,0.535,0.391,0.039,1.0,0.963,0.909,0.423,0.9670000000000001,2.39,2.66,2.98,2.71,2.0,Brooklyn,19,54.20560837,22.42990685,12.14953232,11.21495342,23.36448669,0.41472868217054265
19K345,P.S. 345 Patrolman Robert Bolden,2,3,2,2,3,3,3,3,3,3,2,0.16899999999999998,0.175,0.084,0.898,0.19699999999999998,0.831,0.07400000000000001,0.349,0.532,0.016,13.8,0.83,0.904,0.40399999999999997,0.961,3.25,2.82,2.38,3.94,3.01,Brooklyn,19,46.484375,23.046875,17.578125,12.890625,30.46875,0.5099601593625498
19K346,P.S. 346 Abe Stark,3,3,2,2,3,3,3,3,2,3,2,0.017,0.243,0.08,0.743,0.109,0.631,0.055999999999999994,0.637,0.23,0.046,12.0,0.865,0.9259999999999999,0.23800000000000002,0.951,3.69,2.94,2.91,3.63,3.79,Brooklyn,19,36.86440659,30.08474541,22.88135529,10.16949177,33.0508461,0.43703703703703706
19K364,I.S. 364 Gateway,2,3,2,3,3,3,3,3,3,3,3,0.013999999999999999,0.28,0.094,0.82,0.14,0.723,0.013999999999999999,0.6459999999999999,0.309,0.026000000000000002,2.4,0.9229999999999999,0.912,0.366,0.953,3.78,3.64,3.71,3.77,2.9,Brooklyn,19,53.5087738,34.79532242,9.649123192,2.046783686,11.69590664,0.9771428571428571
19K404,Academy for Young Writers,3,3,3,3,4,3,4,4,3,3,3,0.036000000000000004,0.2,0.009000000000000001,0.843,0.15,0.75,0.013999999999999999,0.6729999999999999,0.3,0.005,1.8,0.6459999999999999,0.903,0.364,0.951,3.06,3.44,3.29,3.73,3.28,Brooklyn,19,62.31155777,22.61306572,11.55778885,3.5175879,15.07537651,0.9045454545454545
19K409,East New York Family Academy,3,3,3,3,4,3,3,4,4,4,3,0.032,0.264,0.005,0.823,0.11800000000000001,0.718,0.027000000000000003,0.645,0.3,0.009000000000000001,4.6,0.805,0.9309999999999999,0.242,0.987,3.78,3.64,3.71,3.77,3.73,Brooklyn,19,28.65168571,37.07865143,21.91011238,12.35955048,34.26966476,0.8090909090909091
19K422,Spring Creek Community School,3,3,3,4,4,4,4,4,3,4,4,0.025,0.28800000000000003,0.038,0.866,0.11900000000000001,0.763,0.021,0.725,0.22,0.017,6.0,0.512,0.907,0.29600000000000004,0.9670000000000001,3.78,3.64,3.71,3.77,3.07,Brooklyn,19,55.92417145,31.7535553,9.478672981,2.843601942,12.32227516,0.8940677966101694
19K452,Frederick Douglass Academy VIII Middle School,3,4,3,4,4,4,4,4,4,4,4,0.021,0.179,0.003,0.716,0.077,0.583,0.06,0.711,0.205,0.021,3.2,0.87,0.932,0.198,0.9640000000000001,4.23,4.47,4.48,4.48,3.94,Brooklyn,19,36.96369553,43.23432159,13.531353,6.270627022,19.80198097,0.9017857142857143
19K557,Brooklyn Gardens Elementary School,3,4,3,3,4,3,4,4,4,4,4,0.07200000000000001,0.34,0.045,0.9640000000000001,0.354,0.9109999999999999,0.0,0.66,0.316,0.021,5.0,0.414,0.9079999999999999,0.354,0.9570000000000001,3.7,4.18,3.96,4.63,4.43,Brooklyn,19,65.78947449,21.92982483,10.52631569,1.754385948,12.28070164,0.3917525773195876
19K654,Van Siclen Community Middle School,3,3,3,3,4,3,4,4,4,4,4,0.11800000000000001,0.34700000000000003,0.125,0.9179999999999999,0.222,0.862,0.02,0.7040000000000001,0.222,0.04,5.0,0.5,0.887,0.414,0.983,3.89,4.63,3.64,4.02,4.39,Brooklyn,19,60.51660538,29.88929939,7.380074024,2.21402216,9.594096184,0.9124579124579124
