DBN,School Name,Enrollment,Supportive Environment Rating,Student Achievement Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District
21K121,P.S. 121 Nelson A. Rockefeller,336,4,3,4,4,3,4,4,4,4,4,4,4,0.19,0.27699999999999997,0.006,0.7240000000000001,0.048,0.625,0.20199999999999999,0.024,0.423,0.33,5.5,0.765,0.943,0.162,0.958,4.55,4.59,4.46,4.02,4.24,Brooklyn,21K
21K128,P.S. 128 Bensonhurst,467,3,3,3,3,2,3,2,3,3,3,2,3,0.445,0.182,0.036000000000000004,0.8,0.009000000000000001,0.76,0.268,0.011000000000000001,0.18,0.535,4.9,0.7140000000000001,0.9520000000000001,0.131,0.958,3.78,3.64,3.71,3.77,3.64,Brooklyn,21K
21K153,P.S. 153 Homecrest,501,3,3,3,3,4,3,4,4,4,4,4,4,0.263,0.21,0.078,0.8290000000000001,0.032,0.782,0.273,0.013999999999999999,0.345,0.327,14.9,0.711,0.9359999999999999,0.235,0.9640000000000001,3.89,3.11,3.82,3.19,2.73,Brooklyn,21K
21K177,P.S. 177 The Marlboro,950,3,3,3,3,3,4,3,4,4,4,4,4,0.359,0.168,0.054000000000000006,0.807,0.055999999999999994,0.747,0.284,0.006,0.307,0.382,3.0,0.833,0.941,0.18899999999999997,0.951,3.9,4.31,3.68,3.76,4.09,Brooklyn,21K
21K188,P.S. 188 Michael E. Berdy,407,1,2,2,2,2,3,3,3,3,3,3,2,0.066,0.31,0.133,0.92,0.192,0.875,0.054000000000000006,0.501,0.349,0.076,1.0,0.972,0.88,0.511,0.95,2.37,2.79,1.79,2.79,3.08,Brooklyn,21K
21K199,P.S. 199 Frederick Wachtel,521,3,3,4,4,4,4,4,4,4,4,4,4,0.34,0.205,0.079,0.8140000000000001,0.083,0.722,0.23199999999999998,0.055999999999999994,0.21899999999999997,0.48200000000000004,10.8,0.685,0.927,0.276,0.9620000000000001,3.7,2.61,4.47,3.42,3.01,Brooklyn,21K
21K209,P.S. 209 Margaret Mead,697,3,4,4,3,3,3,3,4,4,4,4,4,0.20199999999999999,0.275,0.11199999999999999,0.6970000000000001,0.076,0.627,0.3,0.034,0.245,0.41,15.8,0.9,0.94,0.19,0.9620000000000001,3.69,3.32,3.87,2.82,3.72,Brooklyn,21K
21K212,P.S. 212 Lady Deborah Moody,645,3,4,4,4,4,4,4,4,4,4,4,4,0.195,0.253,0.105,0.8540000000000001,0.121,0.769,0.336,0.124,0.364,0.163,3.0,0.758,0.922,0.297,0.963,3.94,3.53,4.34,3.72,3.34,Brooklyn,21K
21K215,P.S. 215 Morris H. Weiss,866,3,3,3,3,4,4,4,4,4,4,4,4,0.23,0.147,0.038,0.696,0.037000000000000005,0.611,0.23600000000000002,0.022000000000000002,0.248,0.484,10.0,0.8640000000000001,0.9359999999999999,0.207,0.96,4.73,4.41,4.1,3.59,3.97,Brooklyn,21K
21K216,P.S. 216 Arturo Toscanini,661,3,3,3,3,3,3,3,3,3,3,3,3,0.23800000000000002,0.147,0.023,0.679,0.033,0.617,0.278,0.035,0.183,0.48700000000000004,3.8,0.75,0.937,0.19399999999999998,0.9590000000000001,3.39,3.5,3.36,3.88,3.7,Brooklyn,21K
