DBN,School Name,Enrollment,Supportive Environment Rating,Student Achievement Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District
01M015,P.S. 015 Roberto Clemente,173,4,4,4,3,3,3,3,4,4,3,4,3,0.046,0.26,0.04,0.895,0.405,0.7859999999999999,0.098,0.254,0.601,0.035,7.8,0.625,0.9390000000000001,0.18600000000000003,0.985,4.12,4.09,3.91,3.8,3.99,Manhattan,01M
01M019,P.S. 019 Asher Levy,244,3,4,4,4,4,4,4,4,4,4,4,4,0.033,0.361,0.111,0.6890000000000001,0.14300000000000002,0.5489999999999999,0.094,0.19699999999999998,0.631,0.066,8.8,0.762,0.914,0.353,0.968,4.27,4.25,4.64,4.1,3.55,Manhattan,01M
01M020,P.S. 020 Anna Silver,463,2,2,2,2,2,3,2,3,3,3,3,2,0.18600000000000003,0.253,0.091,0.799,0.19899999999999998,0.693,0.309,0.102,0.523,0.026000000000000002,1.8,0.622,0.93,0.27399999999999997,0.9670000000000001,2.76,3.04,1.94,3.64,3.12,Manhattan,01M
01M034,P.S. 034 Franklin D. Roosevelt,320,2,2,2,2,2,3,3,2,3,3,3,2,0.078,0.37799999999999995,0.027999999999999997,0.93,0.266,0.863,0.034,0.316,0.613,0.031,1.7,0.737,0.9009999999999999,0.391,0.976,2.4,2.45,2.04,3.33,2.32,Manhattan,01M
01M063,The STAR Academy - P.S.63,177,3,4,4,3,4,3,4,4,4,4,4,4,0.011000000000000001,0.35600000000000004,0.006,0.779,0.254,0.638,0.027999999999999997,0.175,0.65,0.107,10.9,0.474,0.927,0.261,0.98,4.53,4.07,4.14,4.01,3.95,Manhattan,01M
01M064,P.S. 064 Robert Simon,210,3,3,3,3,3,3,4,4,4,3,4,3,0.024,0.33299999999999996,0.013999999999999999,0.883,0.233,0.767,0.048,0.21,0.667,0.062,9.8,0.667,0.907,0.386,0.9690000000000001,4.44,3.94,3.54,4.01,3.91,Manhattan,01M
01M110,P.S. 110 Florence Nightingale,349,3,4,2,2,2,3,3,3,3,3,3,2,0.04,0.132,0.032,0.594,0.16,0.42700000000000005,0.17800000000000002,0.1,0.441,0.249,10.0,0.56,0.9440000000000001,0.177,0.9790000000000001,3.68,3.21,2.51,3.79,3.55,Manhattan,01M
01M134,P.S. 134 Henrietta Szold,277,3,3,3,3,3,4,3,4,4,4,4,4,0.094,0.43700000000000006,0.11199999999999999,0.905,0.22699999999999998,0.841,0.11599999999999999,0.22,0.606,0.04,4.9,0.7709999999999999,0.9009999999999999,0.42200000000000004,0.965,3.52,3.61,3.49,3.3,3.67,Manhattan,01M
01M140,P.S. 140 Nathan Straus,353,2,2,3,3,3,3,3,3,4,3,3,4,0.102,0.337,0.139,0.9129999999999999,0.218,0.836,0.054000000000000006,0.122,0.7959999999999999,0.023,3.0,0.818,0.895,0.452,0.946,3.25,4.11,3.41,3.12,3.26,Manhattan,01M
01M142,P.S. 142 Amalia Castro,308,3,4,3,3,3,3,3,3,4,3,4,3,0.08800000000000001,0.409,0.12300000000000001,0.924,0.32799999999999996,0.818,0.023,0.12300000000000001,0.831,0.003,3.0,0.649,0.922,0.282,0.975,3.81,3.91,3.53,4.04,3.68,Manhattan,01M
01M184,P.S. 184m Shuang Wen,649,3,4,3,2,3,3,3,4,3,3,3,2,0.159,0.166,0.018000000000000002,0.654,0.126,0.49,0.698,0.039,0.128,0.07400000000000001,7.0,0.5379999999999999,0.977,0.045,0.97,2.96,2.75,2.98,3.38,2.91,Manhattan,01M
01M188,P.S. 188 The Island School,414,3,4,3,3,3,4,3,4,4,4,4,4,0.16699999999999998,0.324,0.08,0.951,0.505,0.855,0.017,0.29,0.667,0.027000000000000003,3.9,0.775,0.89,0.434,0.9620000000000001,4.25,4.99,3.87,4.99,4.99,Manhattan,01M
01M301,"Technology, Arts, and Sciences Studio",106,4,4,2,2,2,2,1,2,2,2,1,1,0.027999999999999997,0.377,0.019,0.841,0.18899999999999997,0.736,0.038,0.311,0.5379999999999999,0.066,12.3,0.917,0.888,0.455,0.948,3.78,3.64,3.71,3.77,3.7,Manhattan,01M
01M315,The East Village Community School,282,3,3,3,3,4,4,3,4,4,4,4,4,0.013999999999999999,0.191,0.004,0.36,0.043,0.24100000000000002,0.106,0.053,0.20199999999999999,0.574,3.9,0.68,0.95,0.133,0.976,3.68,3.63,4.07,4.69,4.08,Manhattan,01M
01M332,University Neighborhood Middle School,203,3,2,3,2,2,3,3,3,3,3,4,4,0.054000000000000006,0.43799999999999994,0.113,0.851,0.187,0.754,0.08900000000000001,0.23199999999999998,0.626,0.044000000000000004,9.7,0.583,0.91,0.282,0.998,3.78,3.64,3.71,3.77,4.16,Manhattan,01M
01M361,The Children's Workshop School,279,3,3,3,3,3,4,3,4,4,4,4,4,0.032,0.254,0.011000000000000001,0.527,0.09,0.391,0.09699999999999999,0.09699999999999999,0.387,0.355,14.0,0.833,0.9209999999999999,0.25,0.9670000000000001,3.79,3.84,3.77,4.29,3.31,Manhattan,01M
01M363,Neighborhood School,286,3,4,4,3,3,4,3,4,4,4,4,4,0.035,0.24100000000000002,0.006999999999999999,0.484,0.077,0.35700000000000004,0.059000000000000004,0.094,0.35700000000000004,0.444,4.8,0.7390000000000001,0.934,0.21600000000000003,0.982,3.92,4.31,3.92,4.31,3.85,Manhattan,01M
01M364,Earth School,320,3,1,4,3,3,4,4,4,4,4,4,4,0.066,0.316,0.016,0.5720000000000001,0.156,0.441,0.063,0.122,0.39399999999999996,0.33799999999999997,3.8,0.893,0.935,0.223,0.9790000000000001,4.51,3.67,4.05,4.69,4.08,Manhattan,01M
01M378,School for Global Leaders,256,3,3,4,4,4,4,3,4,4,4,4,4,0.09,0.391,0.13699999999999998,0.8490000000000001,0.207,0.773,0.13699999999999998,0.27,0.5660000000000001,0.016,2.0,0.69,0.8909999999999999,0.384,0.9440000000000001,3.2,3.62,4.78,4.07,3.68,Manhattan,01M
01M450,East Side Community School,298,4,2,4,3,4,4,4,4,4,4,4,4,0.006999999999999999,0.309,0.03,0.598,0.084,0.436,0.111,0.128,0.527,0.198,16.8,0.7959999999999999,0.972,0.04,0.9890000000000001,4.57,4.2,4.37,4.68,4.31,Manhattan,01M
01M539,"New Explorations into Science, Technology and Math",1152,3,4,4,3,3,4,3,4,4,3,3,4,0.01,0.049,0.002,0.20199999999999999,0.009000000000000001,0.105,0.35100000000000003,0.049,0.08199999999999999,0.424,3.0,0.639,0.965,0.05,0.9690000000000001,3.19,3.74,3.89,4.08,3.08,Manhattan,01M
01M839,Tompkins Square Middle School,373,3,3,4,3,4,3,4,4,4,4,4,4,0.021,0.276,0.005,0.677,0.099,0.568,0.231,0.129,0.397,0.20600000000000002,9.9,0.8390000000000001,0.955,0.114,0.9690000000000001,4.44,3.74,4.25,3.98,3.85,Manhattan,01M
02M001,P.S. 001 Alfred E. Smith,294,3,3,4,3,3,4,3,4,4,4,4,4,0.218,0.293,0.027000000000000003,0.8390000000000001,0.102,0.769,0.544,0.16699999999999998,0.255,0.02,15.0,0.935,0.945,0.196,0.976,3.52,2.9,3.96,3.67,3.82,Manhattan,02M
02M002,P.S. 002 Meyer London,530,3,4,3,3,2,3,3,3,4,3,3,3,0.34,0.23199999999999998,0.034,0.914,0.298,0.83,0.792,0.053,0.14300000000000002,0.009000000000000001,2.0,0.885,0.9690000000000001,0.098,0.96,3.67,4.06,3.07,3.83,4.14,Manhattan,02M
02M003,P.S. 003 Charrette School,699,3,2,3,2,3,3,3,4,3,3,3,3,0.034,0.223,0.011000000000000001,0.221,0.021,0.17300000000000001,0.083,0.062,0.139,0.662,16.9,0.9,0.9420000000000001,0.156,0.9440000000000001,3.63,3.61,3.28,4.22,4.02,Manhattan,02M
02M006,P.S. 006 Lillie D. Blake,616,3,4,4,4,4,4,4,4,4,4,4,4,0.032,0.183,0.003,0.11199999999999999,0.01,0.045,0.14,0.021,0.068,0.752,11.8,0.81,0.958,0.07200000000000001,0.975,4.36,3.25,4.8,4.29,2.94,Manhattan,02M
02M011,P.S. 011 William T. Harris,905,3,3,4,4,3,4,4,4,4,4,4,4,0.033,0.15,0.004,0.336,0.042,0.222,0.158,0.062,0.243,0.469,13.0,0.767,0.953,0.11699999999999999,0.9670000000000001,4.56,4.29,4.52,4.61,4.24,Manhattan,02M
02M033,P.S. 033 Chelsea Prep,614,2,2,4,4,3,4,4,4,3,3,3,3,0.047,0.158,0.049,0.498,0.171,0.42,0.226,0.179,0.282,0.226,3.0,0.5,0.934,0.252,0.963,2.86,2.54,3.97,3.81,1.42,Manhattan,02M
02M040,P.S. 040 Augustus Saint-Gaudens,637,4,4,4,4,4,4,4,4,4,4,4,4,0.033,0.18100000000000002,0.006,0.14400000000000002,0.013000000000000001,0.077,0.11599999999999999,0.016,0.13699999999999998,0.623,14.0,0.838,0.961,0.055,0.966,4.69,4.46,4.9,4.62,4.63,Manhattan,02M
02M041,P.S. 041 Greenwich Village,658,4,4,4,4,4,4,4,4,4,4,4,4,0.017,0.16,0.003,0.08,0.003,0.053,0.079,0.012,0.105,0.687,13.0,0.889,0.9620000000000001,0.053,0.9590000000000001,4.72,4.27,4.87,4.61,4.42,Manhattan,02M
02M042,P.S. 042 Benjamin Altman,611,4,4,4,4,3,4,3,4,4,4,4,4,0.368,0.182,0.003,0.8290000000000001,0.10800000000000001,0.732,0.903,0.011000000000000001,0.064,0.013000000000000001,3.8,0.784,0.975,0.055999999999999994,0.9520000000000001,3.9,4.54,4.33,4.11,4.34,Manhattan,02M
02M051,P.S. 051 Elias Howe,385,3,2,3,4,3,4,4,4,4,4,4,4,0.091,0.249,0.018000000000000002,0.65,0.29100000000000004,0.569,0.16899999999999998,0.177,0.48100000000000004,0.156,1.0,0.818,0.9159999999999999,0.322,0.972,4.55,4.06,3.93,4.23,4.43,Manhattan,02M
02M059,P.S. 059 Beekman Hill International,594,4,4,4,4,4,4,4,4,4,4,4,4,0.039,0.168,0.013000000000000001,0.09300000000000001,0.012,0.064,0.17800000000000002,0.013000000000000001,0.10800000000000001,0.609,11.0,0.698,0.9590000000000001,0.066,0.973,4.19,3.77,4.59,4.61,3.84,Manhattan,02M
02M077,P.S. 77 Lower Lab School,358,4,4,4,4,3,4,3,4,4,4,4,4,0.0,0.10099999999999999,0.0,0.1,0.003,0.042,0.313,0.003,0.061,0.506,3.0,0.8,0.9670000000000001,0.031,0.9590000000000001,3.55,3.95,4.52,4.45,2.48,Manhattan,02M
02M089,P.S. 89,397,4,4,4,4,4,4,4,4,4,3,4,3,0.05,0.16399999999999998,0.0,0.092,0.0,0.035,0.16899999999999998,0.018000000000000002,0.151,0.5920000000000001,19.8,0.862,0.96,0.054000000000000006,0.9690000000000001,4.46,4.05,4.74,4.62,4.31,Manhattan,02M
02M104,J.H.S. 104 Simon Baruch,1134,3,3,4,3,4,4,4,4,4,4,4,4,0.040999999999999995,0.175,0.026000000000000002,0.425,0.064,0.345,0.336,0.075,0.19,0.34600000000000003,3.8,0.8079999999999999,0.9620000000000001,0.09,0.958,4.16,3.19,4.21,3.21,3.5,Manhattan,02M
02M111,P.S. 111 Adolph S. Ochs,349,2,3,2,3,3,3,3,3,3,3,3,3,0.14,0.23199999999999998,0.052000000000000005,0.6679999999999999,0.223,0.593,0.166,0.152,0.49,0.155,3.0,0.7879999999999999,0.909,0.355,0.963,3.02,3.12,2.81,3.7,3.63,Manhattan,02M
02M114,East Side Middle School,450,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.158,0.002,0.113,0.004,0.067,0.124,0.038,0.09300000000000001,0.6709999999999999,15.2,0.8,0.976,0.02,0.973,4.48,3.91,4.81,4.03,3.77,Manhattan,02M
02M116,P.S. 116 Mary Lindley Murray,492,4,3,4,4,4,4,4,4,4,4,4,4,0.08900000000000001,0.187,0.012,0.368,0.138,0.27399999999999997,0.207,0.126,0.21100000000000002,0.39399999999999996,15.0,0.875,0.9470000000000001,0.142,0.963,4.71,3.92,4.8,4.23,4.03,Manhattan,02M
02M124,P.S. 124 Yung Wing,668,3,4,3,3,3,3,4,3,3,3,3,3,0.331,0.133,0.0,0.644,0.063,0.53,0.943,0.0,0.022000000000000002,0.016,15.0,0.863,0.9840000000000001,0.015,0.971,3.33,3.06,3.2,3.71,3.48,Manhattan,02M
02M126,P.S. 126 Jacob August Riis,755,4,4,4,4,3,4,4,4,4,4,4,4,0.174,0.195,0.003,0.77,0.275,0.682,0.633,0.08900000000000001,0.174,0.078,2.1,0.833,0.9690000000000001,0.09699999999999999,0.975,4.47,3.78,4.4,3.68,4.1,Manhattan,02M
02M130,P.S. 130 Hernando De Soto,877,4,4,3,3,3,4,3,4,4,4,4,4,0.163,0.146,0.018000000000000002,0.586,0.032,0.461,0.877,0.01,0.049,0.031,3.9,0.847,0.98,0.026000000000000002,0.971,3.91,4.5,3.77,4.11,4.48,Manhattan,02M
02M131,M.S. 131,436,4,3,4,3,3,4,4,4,4,4,4,4,0.326,0.255,0.087,0.846,0.24100000000000002,0.7709999999999999,0.8140000000000001,0.06,0.106,0.018000000000000002,11.0,0.865,0.976,0.075,0.966,4.29,3.88,3.94,3.81,3.86,Manhattan,02M
02M150,P.S. 150,169,4,4,3,3,3,4,3,4,4,4,4,4,0.03,0.154,0.0,0.156,0.0,0.08900000000000001,0.18899999999999997,0.012,0.11199999999999999,0.586,6.3,0.909,0.955,0.077,0.9790000000000001,4.23,4.34,3.85,4.61,4.1,Manhattan,02M
02M151,Yorkville Community School,475,3,3,4,4,4,4,4,4,4,4,4,4,0.042,0.198,0.019,0.431,0.14300000000000002,0.392,0.063,0.158,0.244,0.484,9.0,0.7559999999999999,0.934,0.207,0.9620000000000001,4.61,4.02,4.9,4.62,4.24,Manhattan,02M
02M158,P.S. 158 Bayard Taylor,721,3,3,4,4,4,4,4,4,4,4,4,4,0.053,0.168,0.003,0.11,0.013999999999999999,0.069,0.11699999999999999,0.026000000000000002,0.078,0.72,3.3,0.647,0.9540000000000001,0.084,0.971,3.77,2.66,4.79,4.45,3.03,Manhattan,02M
02M167,J.H.S. 167 Robert F. Wagner,1336,3,4,4,3,4,4,4,4,4,4,4,4,0.031,0.17,0.018000000000000002,0.303,0.037000000000000005,0.237,0.21,0.06,0.161,0.516,13.8,0.83,0.961,0.09300000000000001,0.96,3.88,3.34,4.15,3.35,3.45,Manhattan,02M
02M177,Yorkville East Middle School,233,3,4,3,3,3,4,3,4,4,4,4,4,0.017,0.262,0.004,0.332,0.034,0.27,0.08199999999999999,0.12,0.262,0.485,4.0,0.6,0.953,0.09699999999999999,0.973,3.65,3.95,3.4,4.45,3.69,Manhattan,02M
02M183,P.S. 183 Robert L. Stevenson,548,4,4,3,3,3,4,4,4,4,4,4,4,0.051,0.168,0.004,0.071,0.004,0.042,0.16399999999999998,0.024,0.08800000000000001,0.684,1.0,0.846,0.96,0.05,0.9790000000000001,4.35,3.88,3.61,4.69,4.26,Manhattan,02M
02M198,P.S. 198 Isador E. Ida Straus,410,2,4,3,3,3,3,3,3,3,3,3,3,0.066,0.24100000000000002,0.005,0.376,0.059000000000000004,0.31,0.207,0.11,0.23199999999999998,0.42,1.8,0.778,0.95,0.13699999999999998,0.971,3.39,3.58,3.51,4.31,3.78,Manhattan,02M
02M212,P.S. 212 Midtown West,330,3,3,4,3,4,4,4,4,4,4,4,4,0.039,0.11800000000000001,0.003,0.297,0.015,0.182,0.139,0.067,0.252,0.46399999999999997,2.3,0.762,0.9540000000000001,0.083,0.9740000000000001,4.75,4.1,4.43,4.69,4.28,Manhattan,02M
02M217,P.S./I.S. 217 Roosevelt Island,580,3,3,3,4,4,4,4,4,4,4,4,3,0.174,0.141,0.01,0.306,0.022000000000000002,0.207,0.293,0.11900000000000001,0.14800000000000002,0.39,11.8,0.659,0.951,0.12300000000000001,0.975,3.78,3.64,3.71,3.77,3.37,Manhattan,02M
02M225,Ella Baker School,280,3,3,3,3,3,4,3,4,3,3,3,3,0.011000000000000001,0.254,0.006999999999999999,0.386,0.054000000000000006,0.225,0.046,0.182,0.361,0.325,0.9,0.636,0.9329999999999999,0.20600000000000002,0.96,3.78,3.64,3.71,3.77,3.92,Manhattan,02M
02M234,P.S. 234 Independence School,642,3,4,4,4,3,4,4,4,4,4,4,4,0.016,0.168,0.0,0.095,0.003,0.051,0.095,0.013999999999999999,0.078,0.72,11.8,0.711,0.958,0.076,0.98,4.33,2.71,4.39,4.45,3.97,Manhattan,02M
02M255,M.S. 255 Salk School of Science,386,4,4,4,3,3,4,4,4,4,4,4,4,0.005,0.168,0.0,0.14400000000000002,0.016,0.07,0.163,0.018000000000000002,0.114,0.611,16.0,0.84,0.972,0.013000000000000001,0.97,4.76,4.78,4.16,4.62,4.75,Manhattan,02M
02M260,M.S. 260 Clinton School Writers & Artists,293,4,4,4,4,4,4,3,4,4,4,4,4,0.0,0.157,0.0,0.145,0.006999999999999999,0.068,0.133,0.031,0.085,0.655,6.8,0.7,0.972,0.01,0.9790000000000001,2.56,2.27,4.51,4.0,3.11,Manhattan,02M
02M267,"East Side Elementary School, PS 267",398,3,4,4,4,4,4,4,4,4,4,4,4,0.053,0.161,0.008,0.075,0.008,0.06,0.121,0.005,0.113,0.7440000000000001,8.0,0.655,0.9520000000000001,0.096,0.9620000000000001,4.21,3.17,4.77,4.38,3.59,Manhattan,02M
02M276,Battery Park City School,827,3,4,4,4,4,4,3,4,4,4,4,4,0.031,0.192,0.002,0.163,0.015,0.098,0.196,0.040999999999999995,0.133,0.539,9.0,0.8059999999999999,0.956,0.091,0.976,3.61,3.87,4.65,4.29,3.71,Manhattan,02M
02M281,The River School,236,4,4,3,3,3,4,3,4,3,3,4,3,0.20800000000000002,0.16899999999999998,0.017,0.203,0.034,0.16899999999999998,0.322,0.102,0.127,0.415,3.9,0.591,0.9540000000000001,0.136,0.9890000000000001,4.51,3.78,3.87,4.62,4.25,Manhattan,02M
02M289,I.S. 289,283,3,4,4,3,3,4,4,4,4,4,4,4,0.018000000000000002,0.233,0.004,0.466,0.081,0.385,0.43799999999999994,0.039,0.11699999999999999,0.37799999999999995,4.8,0.889,0.9670000000000001,0.063,0.9490000000000001,4.43,3.65,4.05,3.95,3.78,Manhattan,02M
02M290,P.S. 290 Manhattan New School,591,4,4,4,4,3,4,4,4,4,4,4,4,0.028999999999999998,0.162,0.005,0.11199999999999999,0.003,0.096,0.10800000000000001,0.019,0.086,0.7190000000000001,3.9,0.902,0.958,0.087,0.977,4.2,3.29,4.51,4.61,3.62,Manhattan,02M
02M297,M.S. 297,193,4,4,4,4,4,4,4,4,4,4,4,4,0.031,0.218,0.01,0.299,0.036000000000000004,0.23800000000000002,0.08800000000000001,0.09300000000000001,0.192,0.601,1.0,0.6920000000000001,0.956,0.10400000000000001,0.988,3.78,3.64,3.71,3.77,3.7,Manhattan,02M
02M312,New York City Lab Middle School for Collaborative,554,4,4,3,3,3,4,4,4,4,4,4,4,0.013999999999999999,0.16399999999999998,0.0,0.382,0.018000000000000002,0.292,0.5489999999999999,0.02,0.067,0.29600000000000004,9.9,0.794,0.98,0.025,0.9620000000000001,4.21,3.27,3.6,4.08,4.03,Manhattan,02M
02M343,The Peck Slip School,406,4,3,4,3,3,4,3,4,4,4,4,4,0.027000000000000003,0.207,0.006999999999999999,0.12,0.017,0.08900000000000001,0.185,0.042,0.121,0.522,6.0,0.6,0.958,0.077,0.972,4.02,4.07,4.13,4.4,4.1,Manhattan,02M
02M347,The 47 American Sign Language & English Lower Scho,145,3,4,3,3,3,3,2,3,3,3,3,3,0.35200000000000004,0.6,0.034,0.815,0.214,0.745,0.027999999999999997,0.248,0.524,0.152,8.2,0.738,0.9159999999999999,0.33799999999999997,0.9670000000000001,2.1,2.74,3.19,3.03,3.22,Manhattan,02M
02M397,Spruce Street School,521,3,4,4,3,4,4,4,4,4,4,4,4,0.031,0.175,0.004,0.146,0.025,0.102,0.161,0.035,0.136,0.551,9.0,0.8,0.953,0.11,0.97,4.14,3.68,3.99,4.45,3.73,Manhattan,02M
02M407,Institute for Collaborative Education,207,4,4,4,4,4,4,4,4,4,4,4,4,0.01,0.07200000000000001,0.0,0.278,0.034,0.159,0.077,0.203,0.159,0.498,6.4,0.64,0.9640000000000001,0.079,0.968,4.73,4.02,4.82,4.31,4.11,Manhattan,02M
02M408,Professional Performing Arts High School,122,3,3,3,3,3,4,3,4,4,3,4,3,0.0,0.12300000000000001,0.0,0.3,0.016,0.18899999999999997,0.040999999999999995,0.172,0.19699999999999998,0.44299999999999995,13.0,0.821,0.953,0.07200000000000001,0.97,3.78,3.64,3.71,3.77,3.42,Manhattan,02M
02M413,School of the Future High School,312,3,3,4,3,4,4,4,4,4,4,4,4,0.028999999999999998,0.26,0.01,0.39799999999999996,0.067,0.308,0.192,0.109,0.237,0.33299999999999996,10.9,0.8,0.9620000000000001,0.073,0.9690000000000001,4.24,3.42,4.26,3.67,3.23,Manhattan,02M
02M422,Quest to Learn,222,3,2,3,3,2,4,3,3,3,3,3,2,0.013999999999999999,0.33299999999999996,0.005,0.6729999999999999,0.14,0.604,0.135,0.21600000000000003,0.43700000000000006,0.162,2.0,0.741,0.93,0.21100000000000002,0.9670000000000001,3.76,3.38,3.13,3.67,3.47,Manhattan,02M
02M442,"Ballet Tech, NYC Public School for Dance",141,4,4,3,4,4,4,3,4,4,4,4,4,0.013999999999999999,0.05,0.0,0.449,0.027999999999999997,0.348,0.319,0.184,0.213,0.22699999999999998,8.8,0.778,0.966,0.027000000000000003,0.987,3.81,4.1,4.46,4.38,4.54,Manhattan,02M
02M527,P.S. 527 - East Side School for Social Action,387,4,4,4,3,3,4,3,4,4,4,4,4,0.047,0.16,0.005,0.187,0.039,0.127,0.111,0.039,0.17600000000000002,0.5579999999999999,6.0,0.7140000000000001,0.955,0.09,0.9670000000000001,4.02,4.47,4.11,4.62,4.76,Manhattan,02M
02M655,Life Sciences Secondary School,54,4,4,2,2,2,2,3,4,4,4,4,4,0.055999999999999994,0.444,0.037000000000000005,0.9,0.24100000000000002,0.815,0.037000000000000005,0.389,0.537,0.019,3.0,0.667,0.868,0.46299999999999997,0.965,3.78,3.64,3.71,3.77,3.7,Manhattan,02M
02M896,Lower Manhattan Community Middle School,385,4,4,4,3,3,4,4,4,4,4,4,4,0.062,0.28600000000000003,0.003,0.58,0.094,0.483,0.426,0.10400000000000001,0.16899999999999998,0.278,12.0,0.871,0.968,0.057,0.968,4.49,4.26,3.97,4.62,4.39,Manhattan,02M
02M933,City Knoll Middle School,236,2,3,3,3,3,4,3,4,4,4,4,4,0.08900000000000001,0.301,0.042,0.713,0.242,0.627,0.102,0.254,0.504,0.102,0.8,0.684,0.91,0.34700000000000003,0.98,2.7,1.74,3.24,2.64,1.97,Manhattan,02M
03M009,P.S. 009 Sarah Anderson,601,4,3,4,4,4,4,4,4,4,4,4,4,0.025,0.188,0.003,0.201,0.08199999999999999,0.14,0.087,0.05,0.18100000000000002,0.596,3.0,0.805,0.956,0.091,0.9590000000000001,4.81,4.83,4.82,4.69,4.8,Manhattan,03M
03M054,J.H.S. 054 Booker T. Washington,852,4,4,4,4,3,4,4,4,3,3,3,3,0.011000000000000001,0.11699999999999999,0.036000000000000004,0.226,0.025,0.14,0.107,0.085,0.149,0.579,13.3,0.731,0.965,0.05,0.9790000000000001,3.78,3.64,3.71,3.77,3.52,Manhattan,03M
03M075,P.S. 075 Emily Dickinson,560,3,4,3,3,4,3,4,3,4,3,4,3,0.154,0.4,0.075,0.691,0.207,0.598,0.021,0.214,0.5820000000000001,0.14300000000000002,21.3,0.77,0.9309999999999999,0.223,0.965,3.78,3.64,3.71,3.77,3.65,Manhattan,03M
03M076,P.S. 076 A. Philip Randolph,436,3,2,4,3,3,4,3,4,4,3,3,3,0.094,0.264,0.062,0.92,0.349,0.858,0.005,0.75,0.213,0.03,15.0,0.857,0.8809999999999999,0.493,0.965,3.66,3.86,4.06,4.09,4.24,Manhattan,03M
03M084,P.S. 084 Lillian Weber,551,3,2,3,3,3,4,4,4,4,4,4,4,0.085,0.16699999999999998,0.067,0.479,0.114,0.35200000000000004,0.036000000000000004,0.091,0.385,0.439,2.8,0.615,0.9390000000000001,0.182,0.973,4.58,3.64,3.59,4.06,3.81,Manhattan,03M
03M087,P.S. 087 William Sherman,859,3,4,4,3,3,4,4,4,4,4,4,3,0.028999999999999998,0.204,0.009000000000000001,0.128,0.024,0.083,0.073,0.04,0.14,0.644,8.9,0.841,0.9590000000000001,0.066,0.985,3.65,3.68,3.93,4.53,3.09,Manhattan,03M
03M145,"P.S. 145, The Bloomingdale School",345,2,2,3,3,3,3,3,3,3,3,3,3,0.14800000000000002,0.281,0.107,0.8740000000000001,0.342,0.812,0.02,0.261,0.635,0.064,4.7,0.595,0.9,0.387,0.982,3.06,3.32,3.07,3.7,2.67,Manhattan,03M
03M149,P.S. 149 Sojourner Truth,217,3,2,3,3,3,3,3,3,3,3,3,3,0.166,0.267,0.09699999999999999,0.946,0.28600000000000003,0.889,0.023,0.618,0.3,0.037000000000000005,3.0,0.348,0.9279999999999999,0.278,0.9390000000000001,3.78,3.64,3.71,3.77,3.0,Manhattan,03M
03M163,P.S. 163 Alfred E. Smith,533,2,3,4,3,3,3,4,3,4,3,4,3,0.062,0.188,0.004,0.522,0.111,0.41700000000000004,0.055999999999999994,0.16899999999999998,0.426,0.3,5.9,0.841,0.938,0.21100000000000002,0.966,3.89,3.46,3.85,4.09,3.01,Manhattan,03M
03M165,P.S. 165 Robert E. Simon,573,2,2,4,3,3,3,3,3,3,3,3,3,0.145,0.225,0.049,0.733,0.25,0.616,0.047,0.145,0.614,0.17300000000000001,6.5,0.5539999999999999,0.909,0.361,0.965,3.52,3.48,3.9,4.1,3.5,Manhattan,03M
03M166,P.S. 166 The Richard Rodgers School of The Arts an,648,3,3,4,3,3,3,3,3,4,4,4,3,0.027999999999999997,0.114,0.003,0.192,0.042,0.13699999999999998,0.12,0.051,0.16399999999999998,0.569,5.8,0.8809999999999999,0.9590000000000001,0.055999999999999994,0.9740000000000001,3.42,3.38,3.95,4.07,2.43,Manhattan,03M
03M180,P.S. 180 Hugo Newman,462,2,2,3,2,3,3,3,3,3,3,3,3,0.08199999999999999,0.193,0.002,0.741,0.171,0.639,0.022000000000000002,0.541,0.312,0.078,0.8,0.674,0.9209999999999999,0.244,0.958,3.78,3.64,3.71,3.77,1.95,Manhattan,03M
03M191,The Riverside School for Makers and Artists,444,3,2,3,3,3,3,3,3,3,3,3,3,0.106,0.32,0.115,0.7909999999999999,0.248,0.698,0.05,0.345,0.505,0.079,3.9,0.708,0.91,0.36,0.9670000000000001,3.48,3.47,3.44,4.09,3.76,Manhattan,03M
03M199,P.S. 199 Jessie Isador Straus,848,3,4,4,4,4,3,4,4,4,4,4,4,0.015,0.185,0.018000000000000002,0.10400000000000001,0.011000000000000001,0.057,0.145,0.039,0.099,0.639,3.8,0.846,0.963,0.047,0.953,4.21,2.83,4.86,4.22,2.92,Manhattan,03M
